,Subway_Station,MTA Score Percent (%),Distance Score Percent (%),Strbks Distance Score Percent (%),Final_Score
0,Times Sq - 42 St,100.0,55.670239516426314,78.77261737855889,83.6107142237463
1,E 14th St,94.85781469118601,38.314691878113514,40.15841858735719,67.04718496196068
2,34 Street - Herald Sq Station,75.45811038324715,54.950510683990586,84.8397654499202,72.67662422510126
3,Flushing Main Street,64.84889918243123,5.554431654991884,27.907102246929494,40.789833066695955
4,Atlantic Av-Barclays Center,54.10215422546037,10.969328943110646,21.80987371945169,35.24587777837077
5,Roosevelt Av - Jackson Heights Subway Station,53.56752306337418,8.97897588381545,3.7513227546337977,29.966336191299405
6,59 St - Columbus Circle,52.320407486884555,30.560302414482276,77.56670589848514,53.19195582168413
7,Bedford-Nostrand Avs Station,45.940252935118316,10.830579469736934,0.0,25.67777133499339
8,59 St - Lexington Avenue Subway Station,42.55871713730633,37.31423659667789,61.888235091200414,46.07997649062274
9,W 4 St,42.35248740488424,40.62647076514423,38.41925223935828,40.93767445356775
10,50 Street Subway Station,35.12815226494653,40.31233492701851,93.19865299806983,50.94182311374535
11,Jamaica Center - Parsons/Archer Station,33.664250464269,4.4530609899067635,7.093316946624399,19.71871971626729
12,145 St,33.59247419824036,7.912414549378358,9.170599911550408,21.06699071435237
13,57 Street,30.17280898240856,36.908443751481826,100.0,49.31351542907474
14,Broadway-Lafayette St,23.711865756718094,40.05357666158738,24.795027508477645,28.068083920875303
15,14 Street / 8 Av,23.44699234914321,79.8335521529726,67.42154931989614,48.53727154278879
16,Chambers St Subway Station,22.933190563347186,23.127368736504412,83.94201901929576,38.23394222062363
17,42 St - Bryant Pk,20.1411954407615,56.02032369818458,95.49489055605585,47.94940128394086
18,Junction Blvd,18.748353010030012,7.3465924652830195,0.0,11.21082462133576
19,47-50 Streets - Rockefeller Center Station,18.413980072337182,100.0,94.63329750848253,57.86531441328923
